Country Name,Indicator Name,2018,2019,2020,2021,2022
 World,GDP (current US$),8.7189E+13,8.84924E+13,8.61166E+13,9.83657E+13,1.02435E+14
Afghanistan,GDP (current US$),18053222687,18799444490,19955929052,14259995441,14497243872
Albania,GDP (current US$),15379508330,15585111614,15241455556,18032009220,19017244117
Algeria,GDP (current US$),1.94554E+11,1.9346E+11,1.64873E+11,1.86231E+11,2.25638E+11
Andorra,GDP (current US$),3218419897,3155149348,2891001149,3324647529,3380612573
Angola,GDP (current US$),79450688259,70897962732,48501561204,66505129988,1.044E+11
Antigua and Barbuda,GDP (current US$),1661529630,1726448148,1411637037,1602125926,1866566667
Argentina,GDP (current US$),5.2482E+11,4.47755E+11,3.85741E+11,4.86564E+11,6.3279E+11
Armenia,GDP (current US$),12457940695,13619290539,12641698583,13878908629,19513506553
Aruba,GDP (current US$),3276184358,3395798883,2481857123,2929446578,3279343544
Australia,GDP (current US$),1.42781E+12,1.39272E+12,1.32841E+12,1.55674E+12,1.69086E+12
Austria,GDP (current US$),4.52582E+11,4.42984E+11,4.34398E+11,4.80467E+11,4.71774E+11
Azerbaijan,GDP (current US$),47112470052,48174235294,42693000000,54825411765,78807470588
"Bahamas, The",GDP (current US$),12819200000,13277000000,10363200000,12037000000,13896800000
Bahrain,GDP (current US$),39567978723,40446808511,35837632979,40840212766,46458191489
Bangladesh,GDP (current US$),3.21363E+11,3.51232E+11,3.73979E+11,4.16272E+11,4.60132E+11
Barbados,GDP (current US$),5629916200,5788288000,5168344450,5275242050,6257303500
Belarus,GDP (current US$),60031026576,64410170653,61371673345,69673747132,73775179925
Belgium,GDP (current US$),5.42639E+11,5.36726E+11,5.29694E+11,5.98522E+11,5.93615E+11
Belize,GDP (current US$),2293250000,2388300000,2042850000,2420550000,2846700000
Benin,GDP (current US$),14262408090,14391686313,15686741894,17687623535,17425405084
Bermuda,GDP (current US$),7225977000,7423465000,6887364000,7290037000,7874381000
Bhutan,GDP (current US$),2583335722,2735683570,2457604334,2768802960,2898227744
Bolivia,GDP (current US$),40287647931,40895322851,36629843806,40406111693,44008282880
Bosnia and Herzegovina,GDP (current US$),20484053869,20482608755,20226036564,23672712242,24534663636
Botswana,GDP (current US$),17031943186,16725908149,14960251611,18750182235,20321150598
Brazil,GDP (current US$),1.91693E+12,1.87329E+12,1.47611E+12,1.67065E+12,1.95192E+12
Brunei,GDP (current US$),13566908401,13469235348,12005799664,14006496614,16681536443
Bulgaria,GDP (current US$),66251582036,68634004792,70550652467,84414122840,90509236929
Burkina Faso,GDP (current US$),15890066221,16032813503,17725010533,19697516284,18820218691
Burundi,GDP (current US$),2667182200,2576518880,2649680261,2775798697,3338722828
Cambodia,GDP (current US$),33145892169,36685356408,34818073901,36790163687,39994532960
Cameroon,GDP (current US$),39955552190,39667757528,40773241177,45011937347,44347206073
Canada,GDP (current US$),1.72533E+12,1.74373E+12,1.65568E+12,2.02238E+12,2.19041E+12
Cape Verde,GDP (current US$),2205099507,2252177124,1821565614,2051842619,2247003344
Cayman Islands,GDP (current US$),5530178441,5941896608,5655358021,6060026520,6600843963
Central African Republic,GDP (current US$),2220979146,2221301351,2326720900,2516498412,2382618615
Chad,GDP (current US$),15327000249,14905517743,14932897821,16871937698,17828508290
Chile,GDP (current US$),2.95858E+11,2.78285E+11,2.54042E+11,3.15326E+11,3.01227E+11
China,GDP (current US$),1.41478E+13,1.45602E+13,1.49964E+13,1.82017E+13,1.83168E+13
Colombia,GDP (current US$),3.34198E+11,3.23032E+11,2.70348E+11,3.18525E+11,3.45632E+11
Comoros,GDP (current US$),1188797450,1195019531,1225039196,1299039312,1279542248
"Congo, Rep.",GDP (current US$),14773900289,13976637780,11468687464,14825690211,15817030157
Costa Rica,GDP (current US$),62420164992,64417670521,62395610760,64960725734,69243626029
Cote d'Ivoire,GDP (current US$),58522477787,60382894697,63027852805,72794636649,70922824824
Croatia,GDP (current US$),61668130123,61467582194,57963370885,69006802299,71198635102
Cuba,GDP (current US$),1.0005E+11,1.03428E+11,1.07352E+11,,
