Country Name,Indicator Name,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Afghanistan,GDP (current US$),,,,,,,,,,,,,3521418060,2813571754,3825701439,4520946819,5224896719,6203256539,6971758282,9747886187,10109297048,12416152732,15856668556,17805098206,19907329778,20146416758,20497128556,19134221645,18116572395,18753456498,18053222687,18799444490,19955929052,14259995441,14497243872
Albania,GDP (current US$),2051236250,2253090000,2028553750,1099559028,652174990.8,1185315469,1880950864,2905092799,3234486232,2293666030,2600356999,3283941511,3584570165,4059064033,4515003117,5801712040,7406645793,8256658250,9150528132,11116937870,13258506375,12335540656,12086545641,12973755875,12246499748,12796985886,13296322588,11470171827,11988668785,13258268436,15379508330,15585111614,15241455556,18032009220,19017244117
Algeria,GDP (current US$),59089396860,55634721573,62048507531,45715676428,48003133347,49945584453,42543176829,41764291672,46941554225,48177612042,48187781984,48640671735,54790398570,59413400924,61516103406,73482264191,91913680985,1.07047E+11,1.23084E+11,1.42483E+11,1.80384E+11,1.50317E+11,1.77785E+11,2.18332E+11,2.27144E+11,2.29701E+11,2.38943E+11,1.87494E+11,1.80764E+11,1.89881E+11,1.94554E+11,1.9346E+11,1.64873E+11,1.86231E+11,2.25638E+11
Andorra,GDP (current US$),721425939.2,795489582,1028989692,1106891362,1209992020,1007090270,1017544069,1178745283,1224024139,1180645572,1211953994,1240295103,1432606189,1548265808,1764279824,2366941809,2900245324,3161084091,3459337987,3957625367,4102319399,3688976341,3449925739,3629133574,3188652765,3193512950,3271685597,2789881259,2896610480,3000162081,3218419897,3155149348,2891001149,3324647529,3380612573
Angola,GDP (current US$),8769836769,10201780977,11229515599,10603784541,8307810974,5768720422,4438321017,5538749260,7526421519,7648380196,6506221616,6152923310,9129594970,8936079118,15285592370,17812704586,23552057679,36970900884,52381025141,65266415494,88538665085,70307196182,83799474070,1.1179E+11,1.28053E+11,1.32339E+11,1.35967E+11,90496420507,52761617226,73690154991,79450688259,70897962732,48501561204,66505129988,1.044E+11
Antigua and Barbuda,GDP (current US$),411396296.3,455174074.1,478718518.5,504337037,525133333.3,565662963,625081481.5,616051851.9,679140740.7,734422222.2,789788888.9,835544444.4,901003703.7,877774074.1,898092592.6,948100000,1026329630,1143896296,1303674074,1487381481,1557640741,1386518519,1298348148,1287359259,1364729630,1325496296,1378707407,1437485185,1489603704,1534855556,1661529630,1726448148,1411637037,1602125926,1866566667
Argentina,GDP (current US$),1.2689E+11,76629728760,1.41353E+11,1.8972E+11,2.28779E+11,2.36742E+11,2.5744E+11,2.58032E+11,2.7215E+11,2.92859E+11,2.98948E+11,2.83523E+11,2.84204E+11,2.68697E+11,97724004252,1.27587E+11,1.64658E+11,1.98737E+11,2.32557E+11,2.87531E+11,3.61558E+11,3.32976E+11,4.23627E+11,5.30158E+11,5.45982E+11,5.52025E+11,5.2632E+11,5.94749E+11,5.57532E+11,6.43628E+11,5.2482E+11,4.47755E+11,3.85741E+11,4.86564E+11,6.3279E+11
Armenia,GDP (current US$),,,2256863449,2069870130,1272835453,1201312829,1315158637,1468317435,1596968946,1639492445,1893726437,1845482173,1911563669,2118467913,2376335048,2807061009,3576615240,4900469511,6384452067,9206301270,11662040714,8647937081,9260285756,10142111825,10619320683,11121464437,11609513247,10553337518,10546136236,11527458709,12457940695,13619290539,12641698583,13878908629,19513506553
Aruba,GDP (current US$),596648044.7,695530726.3,764804469.3,872067039.1,958659217.9,1083240224,1245810056,1320670391,1379888268,1531843575,1665363129,1722905028,1873452514,1896456983,1961843575,2044111732,2254830726,2360017318,2469782682,2677641341,2843024581,2553793296,2453597207,2637859218,2615208380,2727849721,2790849721,2962907263,2983635196,3092429050,3276184358,3395798883,2481857123,2929446578,3279343544
Australia,GDP (current US$),2.36161E+11,2.99876E+11,3.11427E+11,3.25975E+11,3.25525E+11,3.12134E+11,3.22807E+11,3.68166E+11,4.01342E+11,4.35643E+11,3.99674E+11,3.89652E+11,4.16168E+11,3.79629E+11,3.95789E+11,4.67739E+11,6.1466E+11,6.95693E+11,7.48418E+11,8.55007E+11,1.05611E+12,9.28762E+11,1.14884E+12,1.39861E+12,1.54753E+12,1.57712E+12,1.46827E+12,1.3513E+12,1.20684E+12,1.32558E+12,1.42781E+12,1.39272E+12,1.32841E+12,1.55674E+12,1.69086E+12
