Reporter Name,Partner Name,Trade Flow,Product Group,Indicator,2018,2019,2020,2021,2022
 World, World,Import,  All Products,AHS Weighted Average (%),4.360015,4.698357832,4.193806848,3.822020331,4.006070609
Afghanistan, World,Import,  All Products,AHS Weighted Average (%),5.627902457,,,,
Albania, World,Import,  All Products,AHS Weighted Average (%),1.017478625,1.017478625,1.103696086,1.129391108,0.22824372
Angola, World,Import,  All Products,AHS Weighted Average (%),7.680441837,6.519359275,9.233434776,11.33184851,8.851875415
Antigua and Barbuda, World,Import,  All Products,AHS Weighted Average (%),14.89385941,13.07249817,13.07249817,13.07249817,
Argentina, World,Import,  All Products,AHS Weighted Average (%),7.415004281,7.259393159,6.875389169,6.505762043,6.449004169
Armenia, World,Import,  All Products,AHS Weighted Average (%),,4.089890349,3.106203518,3.610818356,
Aruba, World,Import,  All Products,AHS Weighted Average (%),10.14913456,12.12078052,,9.660332448,
Australia, World,Import,  All Products,AHS Weighted Average (%),0.863904018,0.772975346,0.712769184,0.811965386,1.016898525
Austria, World,Import,  All Products,AHS Weighted Average (%),1.945164779,2.190367604,1.971434392,1.610162275,1.424877708
Azerbaijan, World,Import,  All Products,AHS Weighted Average (%),,11.98376294,5.932679458,6.016795071,5.451596924
"Bahamas, The", World,Import,  All Products,AHS Weighted Average (%),17.04578276,,,,17.41447223
Bahrain, World,Import,  All Products,AHS Weighted Average (%),4.279404528,3.504255626,2.016745776,2.085583487,3.711169716
Barbados, World,Import,  All Products,AHS Weighted Average (%),,,11.82249387,12.2391511,14.57930568
Belarus, World,Import,  All Products,AHS Weighted Average (%),1.654047995,2.82017184,1.761465128,2.265922987,
Belgium, World,Import,  All Products,AHS Weighted Average (%),1.909451386,1.992563436,1.552779779,1.237302186,0.870826673
Belize, World,Import,  All Products,AHS Weighted Average (%),11.07787784,11.17027831,18.69270146,17.79348101,18.24295564
Benin, World,Import,  All Products,AHS Weighted Average (%),15.25304969,9.86275133,9.86275133,10.88928014,10.31595975
Bermuda, World,Import,  All Products,AHS Weighted Average (%),27.5852167,103.1714846,24.07426023,23.83596509,30.262656
Bolivia, World,Import,  All Products,AHS Weighted Average (%),4.731763123,4.731763123,5.18301609,5.12197576,5.076378787
Bosnia and Herzegovina, World,Import,  All Products,AHS Weighted Average (%),2.76067005,17.88589647,2.856763518,2.798304189,4.093365558
