Country Name,Indicator Name,2018,2019,2020,2021,2022
 World,Trade (% of GDP),57.19883658,55.95674666,52.06386391,56.85194965,62.60539732
Afghanistan,Trade (% of GDP),,,46.70989455,51.41171637,72.88546961
Albania,Trade (% of GDP),75.69407837,75.38212893,59.52071189,75.59032173,84.6980571
Algeria,Trade (% of GDP),52.43616768,46.50684261,40.38975656,46.83705926,51.20237574
Angola,Trade (% of GDP),66.37801333,57.82953812,65.94202893,74.46449859,69.69107051
Antigua and Barbuda,Trade (% of GDP),130.6551527,137.5377836,94.28952989,101.0749606,117.7035278
Argentina,Trade (% of GDP),30.76253595,32.63061505,30.20369881,33.07868957,31.54770801
Armenia,Trade (% of GDP),92.47310702,96.11415413,69.48880754,79.66988882,101.4107783
Aruba,Trade (% of GDP),145.2135524,145.3435727,124.1372672,147.0155771,172.8841717
Australia,Trade (% of GDP),43.73606508,46.18750189,44.66445607,40.30248027,45.82177023
Austria,Trade (% of GDP),108.37797,108.2072849,99.94821411,111.0322687,124.3834515
Azerbaijan,Trade (% of GDP),91.67257654,85.81814541,72.01786765,76.28686569,86.98227325
"Bahamas, The",Trade (% of GDP),72.1542686,68.78662348,53.42075807,65.93254133,75.98296011
Bahrain,Trade (% of GDP),144.0753726,135.4175434,135.460985,153.7993165,167.1412412
Bangladesh,Trade (% of GDP),32.51463172,31.57805449,26.27144738,27.7240047,33.77996727
Belarus,Trade (% of GDP),139.3937363,130.8504061,118.9341761,136.0141679,120.0242076
Belgium,Trade (% of GDP),168.2776929,165.4654789,156.9501213,177.3818924,191.9394441
Belize,Trade (% of GDP),100.6649951,102.1228489,81.82196441,99.3162711,108.5291741
Benin,Trade (% of GDP),61.79519449,63.68133231,44.83323338,48.05486083,44.38159289
Bermuda,Trade (% of GDP),77.55527038,77.56010165,69.19370023,71.40816981,75.19722503
Bhutan,Trade (% of GDP),79.73972033,76.1235167,71.83035104,77.58244827,85.57121652
Bolivia,Trade (% of GDP),57.10996461,56.39730673,45.50326262,59.02139656,67.75589877
Bosnia and Herzegovina,Trade (% of GDP),98.4320912,94.51612789,82.11126526,96.48590858,110.2059677
Botswana,Trade (% of GDP),87.45510399,83.09298136,77.66341784,88.75874959,85.61170776
Brazil,Trade (% of GDP),28.87620338,28.89025787,32.30207854,37.65633076,38.81606598
Brunei,Trade (% of GDP),93.8980617,108.5096585,110.2910036,147.1231124,146.9739661
Bulgaria,Trade (% of GDP),128.8655653,125.0299631,110.3240811,121.1573546,138.8401468
Burkina Faso,Trade (% of GDP),60.59562562,60.40869288,60.73977864,62.42035866,64.84387392
Burundi,Trade (% of GDP),26.59970246,29.02621,26.77333,28.81866,28.31532036
Cambodia,Trade (% of GDP),118.4376554,115.7366791,122.1053963,146.1798465,145.8736328
Cameroon,Trade (% of GDP),40.58760288,43.37851325,33.73883136,36.73083472,41.28660256
Canada,Trade (% of GDP),66.59988585,66.17148528,61.15677096,62.24683672,67.31762156
Cape Verde,Trade (% of GDP),105.8675241,103.6026565,78.39345459,77.45505863,96.99413685
Cayman Islands,Trade (% of GDP),117.1171234,114.8385397,105.4727895,,
Central African Republic,Trade (% of GDP),49.6602,50.0658,49.52102,44.15912,45.23357
Chad,Trade (% of GDP),46.73843179,46.67772472,40.64281706,43.9465041,47.98837843
Chile,Trade (% of GDP),58.17705063,57.61175457,58.18286356,64.87740632,75.20161774
China,Trade (% of GDP),36.89438439,35.19942027,34.03895079,36.52069118,37.44071988
Colombia,Trade (% of GDP),36.5347528,37.55853398,34.05557097,40.05914639,48.28265511
Comoros,Trade (% of GDP),42.99615334,42.26807854,33.72993462,42.06772365,50.38877049
"Congo, Rep.",Trade (% of GDP),100.5832168,91.57575479,69.30662472,85.54620316,98.16133669
Costa Rica,Trade (% of GDP),66.94534202,65.76053002,60.13988625,70.7816423,82.22753254
Cote d'Ivoire,Trade (% of GDP),46.03750871,44.66041058,41.94263182,45.11403278,52.86639104
Croatia,Trade (% of GDP),99.06781797,101.3820133,89.5334538,102.3084308,125.2138576
Cuba,Trade (% of GDP),27.08354845,22.82089114,15.68255027,80.02390316,93.86077559
Curaçao,Trade (% of GDP),155.2688588,,,,
Cyprus,Trade (% of GDP),147.6235674,150.5061696,160.6687165,176.8277368,207.632427
Czech Republic,Trade (% of GDP),145.1417179,138.15461,128.7804303,137.3781163,144.0114941
Denmark,Trade (% of GDP),108.8139855,111.8914751,104.4334327,111.4140437,131.5431511
Djibouti,Trade (% of GDP),300.3989005,320.9392304,225.7448713,263.4777287,302.2854092
Dominican Republic,Trade (% of GDP),52.33517096,50.9129822,44.73316135,51.95002273,54.37819767
East Asia & Pacific,Trade (% of GDP),55.59540725,53.33410851,50.30266513,55.45142427,60.5212524
Ecuador,Trade (% of GDP),48.00934762,48.08284949,43.98931094,53.26127561,61.88079282
"Egypt, Arab Rep.",Trade (% of GDP),45.91101967,41.12401716,32.12625557,29.85697348,36.98310488
El Salvador,Trade (% of GDP),75.63361689,76.0420131,66.45950695,81.84507598,88.70110938
Estonia,Trade (% of GDP),143.4852249,140.352148,137.3926413,160.3946816,174.5639942
Eswatini,Trade (% of GDP),85.47537165,86.64122296,84.30061197,90.33279817,92.67890422
Ethiopia(excludes Eritrea),Trade (% of GDP),31.19936898,28.81529393,24.00611434,24.34505746,26.5954997
Europe & Central Asia,Trade (% of GDP),83.30340049,83.15037112,77.02923616,83.30313238,93.55048785
Faeroe Islands,Trade (% of GDP),106.8741681,108.623705,96.22419375,104.473032,124.535531
Fiji,Trade (% of GDP),103.2354199,107.4114641,72.34357578,81.7252086,117.5065596
Finland,Trade (% of GDP),79.14361484,80.56415029,72.1845956,79.78927819,94.56253405
Fm Sudan,Trade (% of GDP),21.86791873,26.11962046,9.955145076,4.127548638,2.698834436
France,Trade (% of GDP),66.80226078,66.42897717,58.83889072,63.78848263,75.79014361
French Polynesia,Trade (% of GDP),65.01466285,63.3061124,45.83318344,51.63760842,67.23096626
Gabon,Trade (% of GDP),77.0365977,73.42808945,70.11405465,85.34831221,92.06308885
"Gambia, The",Trade (% of GDP),64.812464,55.99791162,47.39552017,42.0979828,44.72192155
Georgia,Trade (% of GDP),109.8477406,117.8100802,92.89108418,101.6009075,114.6954377
Germany,Trade (% of GDP),79.22765969,79.13374711,72.99325723,80.15661805,89.06412737
Ghana,Trade (% of GDP),67.95851746,76.82480273,66.57549872,62.70783091,70.1154558
Greece,Trade (% of GDP),79.23816361,80.59010089,70.29378645,88.01266274,107.6792079
Greenland,Trade (% of GDP),89.77669063,92.19075156,82.65950289,83.68385723,93.36513288
Guatemala,Trade (% of GDP),47.01168207,45.51674275,41.14076165,49.26115095,54.43104147
Guinea,Trade (% of GDP),88.98411154,78.41531323,115.7652595,115.1955328,94.16527269
Guinea-Bissau,Trade (% of GDP),55.01958904,50.17798671,43.43044813,45.51078469,46.27085662
Honduras,Trade (% of GDP),103.5511622,99.45997799,88.00085638,103.3726435,112.6985249
"Hong Kong, China",Trade (% of GDP),376.8927735,353.7435211,350.679705,402.4596815,384.8811432
Hungary,Trade (% of GDP),162.7008588,159.9255565,154.2954988,158.7297828,183.8080141
Iceland,Trade (% of GDP),88.63690696,82.86274578,67.97507563,76.65276763,92.07719113
India,Trade (% of GDP),43.61696933,39.90540353,37.75810533,45.42308878,50.07527015
Indonesia,Trade (% of GDP),43.07430896,37.62777754,32.9721754,40.20475827,45.4646702
"Iran, Islamic Rep.",Trade (% of GDP),58.56508972,50.75433435,43.81016469,44.37383405,51.59750681
Iraq,Trade (% of GDP),65.80179177,68.98993842,57.7423164,61.50326831,68.75879409
Ireland,Trade (% of GDP),216.4236477,249.7457657,250.1084523,224.4188359,232.1294906
Israel,Trade (% of GDP),58.74375424,56.32534864,51.23667379,54.9016842,60.64485267
Italy,Trade (% of GDP),59.27498351,58.69419026,53.9394839,60.30197762,72.0165023
Jamaica,Trade (% of GDP),89.97790604,90.11060763,,,
Japan,Trade (% of GDP),36.6099318,35.21641811,31.33520864,36.73844623,46.81298684
Jordan,Trade (% of GDP),87.63591519,85.6878335,66.05994881,80.33286994,104.0954594
Kazakhstan,Trade (% of GDP),63.52795651,64.85861655,57.02644237,58.66860858,68.33431474
Kenya,Trade (% of GDP),34.41475318,31.75946184,27.23781553,30.82430318,33.69113873
Kiribati,Trade (% of GDP),81.11753887,96.59031074,76.70895611,74.51824958,108.1436605
"Korea, Rep.",Trade (% of GDP),78.98886551,75.75713897,69.03404509,80.19945693,96.53640929
Kuwait,Trade (% of GDP),102.7856307,91.68571238,82.01074583,82.00037511,90.91881021
Kyrgyz Republic,Trade (% of GDP),98.8755599,94.43028235,78.99227843,100.2613769,133.786718
Latin America & Caribbean,Trade (% of GDP),48.04163766,47.36312086,47.02991402,53.87223249,57.55134559
Latvia,Trade (% of GDP),128.2340956,125.2916317,123.883198,136.7966154,159.8443449
Lebanon,Trade (% of GDP),68.2573073,62.98091601,50.12980429,78.8286204,114.8882783
Lesotho,Trade (% of GDP),144.4349555,140.5166335,141.0966046,139.1864795,142.3739814
Libya,Trade (% of GDP),63.7811336,78.99396919,50.97579344,164.28407,156.3216847
Lithuania,Trade (% of GDP),147.2021325,148.374996,135.7965656,154.8067277,175.6516122
Luxembourg,Trade (% of GDP),361.8654452,382.6607806,375.5813964,397.5061809,412.1771699
Macao,Trade (% of GDP),115.8654807,114.7030638,121.500363,167.6887458,168.0810225
Madagascar,Trade (% of GDP),67.84150467,62.60132305,49.01070737,55.21585859,70.54713441
Malaysia,Trade (% of GDP),130.4026255,123.028562,116.7881824,134.0359947,146.5054183
Maldives,Trade (% of GDP),142.4911285,137.1252309,114.3619029,142.6072967,162.2435705
Mali,Trade (% of GDP),50.69984625,53.99871328,56.04154744,56.71505256,61.66369797
Malta,Trade (% of GDP),228.0985507,233.0704419,256.402967,220.7387014,243.4153823
Mauritania,Trade (% of GDP),89.14672949,93.48669414,86.77616813,88.30687376,102.0258991
Mauritius,Trade (% of GDP),96.63391641,95.84579815,83.23961735,92.25909396,112.5847579
Mexico,Trade (% of GDP),80.21266166,77.46197226,76.8545557,83.06929763,88.82693478
"Micronesia, Fed. Sts.",Trade (% of GDP),103.4067857,95.84939086,85.30981634,87.24811065,87.70132269
"Middle East, North Africa, Afghanistan & Pakistan",Trade (% of GDP),73.9679925,72.42898014,67.61509711,71.60595527,78.9699454
Moldova,Trade (% of GDP),87.44678743,87.63223711,79.26572212,88.47088654,112.1176716
Mongolia,Trade (% of GDP),126.3558732,124.3965146,112.8386476,119.0980784,136.3279299
Morocco,Trade (% of GDP),77.25488752,75.99811588,68.84380339,75.52341718,101.1323821
Mozambique,Trade (% of GDP),124.6074575,105.5911714,99.90614605,112.0789645,135.2795784
Namibia,Trade (% of GDP),81.7138653,82.90115074,76.9252424,83.54430309,99.26255478
Nepal,Trade (% of GDP),48.44738695,49.24952659,40.91887412,43.05380479,48.97340148
Netherlands,Trade (% of GDP),163.5591466,160.6766719,152.2332304,163.1548427,184.1074843
New Zealand,Trade (% of GDP),55.76648149,54.45429718,43.97724229,48.54124777,53.47616277
Nicaragua,Trade (% of GDP),93.98474049,94.04221592,88.63812312,106.2073908,115.4546787
Niger,Trade (% of GDP),37.5388484,37.10256643,35.51299066,37.01589355,52.80614843
North America,Trade (% of GDP),30.80377287,29.68202477,26.34490074,28.38971705,30.35801904
North Macedonia,Trade (% of GDP),133.2152076,138.5762318,128.2412443,146.7214115,166.1473574
Norway,Trade (% of GDP),70.00319579,70.89582053,65.35397904,71.22271378,82.60947984
Occ.Pal.Terr,Trade (% of GDP),71.40127545,68.99349228,67.28819125,73.08354962,82.39492839
Oman,Trade (% of GDP),89.27921783,86.47820103,91.8758908,95.94948773,105.7450093
Pakistan,Trade (% of GDP),27.62605708,28.90557699,26.71628073,27.03042041,33.03135348
